date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:32:19	20683/20683	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2005:02:16%20GMT	https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/index.html	/home/kumartej/websites/fishing2/p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/index.html	(from )
10:32:22	1002/1002	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2005:02:19%20GMT	https://p.w3layouts.com/robots.txt		(from )
10:32:23	121239/121239	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:48%20GMT	https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/css/bootstrap.css	/home/kumartej/websites/fishing2/p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/css/bootstrap.css	(from https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/index.html)
10:32:24	38974/38974	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:48%20GMT	https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/css/style.css	/home/kumartej/websites/fishing2/p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/css/style.css	(from https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/index.html)
10:32:25	7808/7808	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:48%20GMT	https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/css/owl.carousel.css	/home/kumartej/websites/fishing2/p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/css/owl.carousel.css	(from https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/index.html)
10:32:28	416/416	---MC-	200	added ('OK')	text/css	date:Thu,%2006%20Oct%202022%2005:02:26%20GMT	http://fonts.googleapis.com/css?family=Montserrat:400,700	/home/kumartej/websites/fishing2/fonts.googleapis.com/csse3e5.css	(from https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/index.html)
10:32:28	95992/95992	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:48%20GMT	https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/js/jquery.min.js	/home/kumartej/websites/fishing2/p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/js/jquery.min.js	(from https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/index.html)
10:32:28	2465/2465	---MC-	200	added ('OK')	text/css	date:Thu,%2006%20Oct%202022%2005:02:28%20GMT	http://fonts.googleapis.com/css?family=Open+Sans:400,800italic,800,700italic,700,600italic,600,400italic,300italic,300	/home/kumartej/websites/fishing2/fonts.googleapis.com/csse2fc.css	(from https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/index.html)
10:32:30	67568/67568	---MCZ	200	added ('OK')	application/javascript	etag:W/%224896c8077f50520418d4d1ab293b6545%22	http://m.servedby-buysellads.com/monetization.js	/home/kumartej/websites/fishing2/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/index.html)
10:32:31	31000/31000	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202021%2016:54:58%20GMT	https://p.w3layouts.com/assests/css/font-awesome.min.css	/home/kumartej/websites/fishing2/p.w3layouts.com/assests/css/font-awesome.min.css	(from https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/index.html)
10:32:32	4576/4576	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:48%20GMT	https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/js/jquery.vide.min.js	/home/kumartej/websites/fishing2/p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/js/jquery.vide.min.js	(from https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/index.html)
10:32:32	2928/2928	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:48%20GMT	https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/images/menu.png	/home/kumartej/websites/fishing2/p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/images/menu.png	(from https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/index.html)
10:32:34	19789/19789	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2005:02:31%20GMT	https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/about.html	/home/kumartej/websites/fishing2/p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/about.html	(from https://p.w3layouts.com/demos/july-2016/02-07-2016/aquatic_life/web/index.html)
